day,wt,time,bf,calories_in,calories_out,exercise,dotw,meeting,avg_wt_loss_by_week,
1,291.9,pm,37,1500,2709,0,F,1,,
2,,,,4040,4235,0,S,,,
3,,,,4255,4948,0,Su,,,
4,,,,2813,5363,0,M,,,
5,,,,4330,4609,0,T,,,
6,,,,4145,4598,0,W,,,
7,,,,5373,4932,0,R,,,
8,,,,4208,4683,0,F,,,
9,,,,3569,4131,0,S,,,
10,,,,2798,3830,0,Su,,,
11,294.8,pm,36.6,2735,4673,0,M,,,
12,288.1,am,35,0,0,,T,,,
12,295.5,pm,36.1,2651,4185,0,T,1,,
13,286.4,am,34.6,0,0,,W,,,
13,294.5,pm,36,3385,3995,1,W,,,
14,286.8,am,34.6,0,0,,R,,,
14,292.8,pm,35.5,1641,4145,1,R,,,
15,285.1,am,34.4,0,0,,F,,,
15,296.7,pm,,3692,4387,0,F,,,
16,285.4,am,34.4,0,0,,S,,,
16,293.4,pm,35.9,2818,3744,1,S,290.47,1.43,
17,284.6,am,34.3,0,0,,Su,,,
17,293,pm,35.7,3798,4337,1,Su,,,
18,282.9,am,34.3,0,0,,M,,,
18,294.1,pm,36,3095,4250,1,M,,,
19,284.2,am,34.3,0,0,,T,,,
19,291.7,pm,35.5,2588,4123,1,T,,,
20,284.4,am,34.2,0,0,,W,,,
20,293.2,pm,35.7,2622,4343,1,W,1,,
21,284,am,34.2,0,0,,R,,,
21,291.7,pm,35.4,2212,4536,0,R,,,
22,282.4,am,33.2,0,0,,F,,,
22,289.9,pm,35.1,2865,4371,1,F,,,
23,282.9,am,33.2,0,0,,S,,,
23,289,pm,34.9,3131,3458,0,S,287.7142857,2.755714286,
24,282.4,am,34,0,0,,Su,,,
24,289.5,pm,35.1,3677,3749,1,Su,,,
25,281.8,am,33.9,0,0,,M,,,
25,290.3,pm,35.2,2483,4624,0,M,,,
26,280.9,am,33.7,0,0,,T,,,
26,287,pm,34.5,2513,3979,1,T,,,
27,281.8,am,33.8,0,0,,W,,,
27,288.4,pm,34.8,2897,4114,1,W,,,
28,280.6,am,33.5,0,0,,R,,,
28,290.3,pm,35.2,2814,4208,1,R,,,
29,280.9,am,33.8,0,0,,F,,,
29,291.2,pm,35.4,3247,4002,0,F,,,
30,283.1,am,33.8,0,0,,S,,,
30,290.3,pm,35.3,3685,3572,0,S,285.6071429,2.107142857,
31,281.1,am,33.6,0,0,,Su,,,
31,286.8,pm,34.5,2148,3337,0,Su,,,
32,280,am,33.6,0,0,,M,,,
32,289.7,pm,35.1,2581,4916,1,M,,,
33,279.8,am,33.4,0,0,,T,,,
33,287,pm,34.6,1969,4724,1,T,,,
34,278.4,am,33.3,0,0,,W,,,
34,287.7,pm,34.8,2783,4427,1,W,1,,
35,278.7,am,33.7,NA,NA,,R,,,
35,287.3,pm,34.7,2978,4250,0,R,,,
36,279.8,am,33.4,NA,NA,,F,,,
36,289.5,pm,35,2619,4450,1,F,,,
37,277.8,am,32,,,,S,,,
37,285.7,pm,34.5,2578,4295,1,S,283.5214286,2.085714286,
38,279.3,am,32.5,,,,Su,,,
38,289.5,pm,34.8,4448,4362,1,Su,,,
39,280.2,am,32.4,,,,M,,,
39,286.4,pm,33.4,2202,4462,1,M,,,
40,279.1,am,32.2,,,,T,,,
40,285.7,pm,33.3,2282,4579,1,T,,,
41,278.9,am,32.2,,,,W,,,
41,287.3,pm,33.5,2255,4204,0,W,,,
42,277.1,am,31.9,,,,R,,,
42,287.9,pm,34.8,3560,3775,0,R,,,
43,277.6,am,31.8,,,,F,,,
43,286.2,pm,33.4,2718,3834,0,F,,,
44,277.3,am,31.9,,,,S,,,
44,280.4,pm,32.5,2921,4321,0,S,282.35,1.1714286,
45,276,am,31.8,,,,Su,,,
45,284.8,pm,33.3,3368,3376,0,Su,,,4.5
46,275.7,am,31.7,,,,M,,,
46,284.6,pm,33.3,2446,5178,1,M,,,2
47,276,am,31.8,,,,T,,,
47,282.9,pm,33.3,1998,4306,0,T,,,2
48,274.5,am,31.6,,,,W,,,
48,286.6,pm,33.8,1294,4321,,W,,,
49,275.1,am,31.7,,,,R,,,
49,281.3,pm,32.6,1732,2645,,R,,,
50,273.8,am,31.4,,,,F,,,
50,281.1,pm,32.6,2793,3768,,F,,,
51,273.8,am,31.4,,,,S,,,
51,281.5,pm,32.6,3126,4331,,S,279.1214286,3.228571429,
52,274.7,am,31.5,,,,Su,,,
52,282.8,pm,32.9,2815,3889,,Su,,,
53,277.6,am,32.1,,,,M,,,
53,282.4,pm,33,2555,3925,,M,,,
54,274,am,31.4,,,,T,,,
54,281.3,pm,32.8,2084,3850,,T,,,
55,272.7,am,31.3,,,,W,,,
55,284,pm,33,2872,4182,,W,,,
56,276.2,am,31.9,,,,R,,,
56,281.1,pm,32.5,2585,,,R,278.68,0.4414286,
,,,,,,,,,2.056444453,
